CustomerKey,MaritalStatus,FirstName,LastName,BirthDate,Gender,AnnualIncome,TotalChildren
11000,M,JON,YANG,04-08-1966,M,"90,000",2
11001,S,EUGENE,HUANG,5/14/1965,M,"60,000",3
11002,M,RUBEN,TORRES,08-12-1965,M,,3
11003,S,CHRISTY,ZHU,2/15/1968,F,"70,000",0
11004,S,ELIZABETH,JOHNSON,08-08-1968,F,"80,000",5
11005,S,JULIO,RUIZ,08-05-1965,M,,0
11007,M,MARCO,MEHTA,05-09-1964,M,"60,000",3
11088,S,ROBIN,VERHOFF,07-07-1964,F,"60,000",4
11009,S,SHANNON,CARLSON,04-01-1964,M,"70,000",0
11010,S,JACQUELYN,SUAREZ,02-06-1964,F,,0
11011,M,CURTIS,LU,11-04-1963,M,"60,000",4
11012,M,LAUREN,WALKER,1/18/1968,F,"1,00,000",2
11013,M,IAN,JENKINS,08-06-1968,M,,2
11014,S,SYDNEY,BENNETT,05-09-1968,F,"1,00,000",3
13015,S,CHLOE,YOUNG,2/27/1979,F,"30,000",0
11016,M,WYATT,HILL,4/28/1979,M,,0
11017,S,SHANNON,WANG,6/26/1944,F,"20,000",4
11018,S,CLARENCE,RAI,10-09-1944,M,"30,000",2
11019,S,LUKE,LAL,03-07-1978,M,"40,000",0
